ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,アプリ(実データ列),判定理由
UC-3408,UC-GL-104,ポートフォリオ管理のロードマップ策定,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3409,UC-GL-105,ポートフォリオ管理の主要関係者の合意形成,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3410,UC-GL-106,ポートフォリオ管理の変更影響の分析,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3411,UC-GL-107,ポートフォリオ管理の定期レビュー/報告,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3412,UC-GL-108,ポートフォリオ管理の実行計画の策定,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3413,UC-GL-109,ポートフォリオ管理の役割/責任（RACI）定義,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3414,UC-GL-110,ポートフォリオ管理の意思決定基準の明文化,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3415,UC-GL-111,ポートフォリオ管理の成果物の記録/版管理,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3416,UC-GL-112,ポートフォリオ管理の指標の定義と可視化,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3417,UC-GL-113,ポートフォリオ管理の改善施策の優先順位付け,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3418,UC-GL-114,ポートフォリオ管理の教育/オンボーディング,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3419,UC-GL-115,ポートフォリオ管理の教育/展開/浸透,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3420,UC-GL-116,ポートフォリオ管理の方針/ポリシー策定,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3421,UC-GL-117,ポートフォリオ管理の標準/ガイドライン整備,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3422,UC-GL-118,ポートフォリオ管理の現状評価/ギャップ分析,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3423,UC-GL-119,ポートフォリオ管理の目標/ターゲット設定,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3424,UC-GL-120,ポートフォリオ管理の運用手順と標準の整備,ポートフォリオ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3501,UC-GL-122,リスク管理のKPI/指標定義,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3502,UC-GL-123,リスク管理のガバナンスと方針運用の整備,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3503,UC-GL-124,リスク管理のステークホルダー/関係者調整,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3504,UC-GL-125,リスク管理のツール/データ整備,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3505,UC-GL-126,リスク管理のリスク/例外レビュー,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3506,UC-GL-127,リスク管理のリスクと例外の管理,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3507,UC-GL-128,リスク管理のレビュー/監査の実施,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3508,UC-GL-129,リスク管理のロードマップ策定,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3509,UC-GL-130,リスク管理の主要関係者の合意形成,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3510,UC-GL-131,リスク管理の変更影響の分析,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3511,UC-GL-132,リスク管理の定期レビュー/報告,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3512,UC-GL-133,リスク管理の実行計画の策定,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3513,UC-GL-134,リスク管理の役割/責任（RACI）定義,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3514,UC-GL-135,リスク管理の意思決定基準の明文化,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3515,UC-GL-136,リスク管理の成果物の記録/版管理,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3516,UC-GL-137,リスク管理の指標の定義と可視化,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3517,UC-GL-138,リスク管理の改善施策の優先順位付け,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3518,UC-GL-139,リスク管理の教育/オンボーディング,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3519,UC-GL-140,リスク管理の教育/展開/浸透,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3520,UC-GL-141,リスク管理の方針/ポリシー策定,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3521,UC-GL-142,リスク管理の標準/ガイドライン整備,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3522,UC-GL-143,リスク管理の現状評価/ギャップ分析,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3523,UC-GL-144,リスク管理の目標/ターゲット設定,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3524,UC-GL-145,リスク管理の運用手順と標準の整備,リスク管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3525,UC-N8N-17,リスクレビュー通知,リスク管理,n8n; GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3601,UC-GL-462,リリース管理,リリース管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3701,UC-GL-148,人材・タレント管理のKPI/指標定義,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3702,UC-GL-149,人材・タレント管理のガバナンスと方針運用の整備,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3703,UC-GL-150,人材・タレント管理のステークホルダー/関係者調整,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3704,UC-GL-151,人材・タレント管理のツール/データ整備,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3705,UC-GL-152,人材・タレント管理のリスク/例外レビュー,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3706,UC-GL-153,人材・タレント管理のリスクと例外の管理,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3707,UC-GL-154,人材・タレント管理のレビュー/監査の実施,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3708,UC-GL-155,人材・タレント管理のロードマップ策定,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3709,UC-GL-156,人材・タレント管理の主要関係者の合意形成,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3710,UC-GL-157,人材・タレント管理の変更影響の分析,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3711,UC-GL-158,人材・タレント管理の定期レビュー/報告,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3712,UC-GL-159,人材・タレント管理の実行計画の策定,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3713,UC-GL-160,人材・タレント管理の役割/責任（RACI）定義,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3714,UC-GL-161,人材・タレント管理の意思決定基準の明文化,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3715,UC-GL-162,人材・タレント管理の成果物の記録/版管理,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3716,UC-GL-163,人材・タレント管理の指標の定義と可視化,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3717,UC-GL-164,人材・タレント管理の改善施策の優先順位付け,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3718,UC-GL-165,人材・タレント管理の教育/オンボーディング,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3719,UC-GL-166,人材・タレント管理の教育/展開/浸透,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3720,UC-GL-167,人材・タレント管理の方針/ポリシー策定,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3721,UC-GL-168,人材・タレント管理の標準/ガイドライン整備,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3722,UC-GL-169,人材・タレント管理の現状評価/ギャップ分析,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3723,UC-GL-170,人材・タレント管理の目標/ターゲット設定,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3724,UC-GL-171,人材・タレント管理の運用手順と標準の整備,人材・タレント管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3801,UC-GF-030,可用性管理のSLA/目標管理,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3802,UC-GF-031,可用性管理のエスカレーション/連携,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3803,UC-GF-032,可用性管理のデータ品質の維持,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3804,UC-GF-033,可用性管理のナレッジの更新,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3805,UC-GF-034,可用性管理のレポート/振り返り,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3806,UC-GF-035,可用性管理のレポートの標準化,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3807,UC-GF-036,可用性管理の依存関係の整理,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3808,UC-GF-037,可用性管理の分類/優先度付け,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3809,UC-GF-038,可用性管理の受付/登録,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3810,UC-GF-039,可用性管理の品質保証/監査,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3811,UC-GF-040,可用性管理の実行/処理,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3812,UC-GF-041,可用性管理の承認/レビュー,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3813,UC-GF-042,可用性管理の改善施策の実施,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3814,UC-GF-043,可用性管理の方針/標準定義,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3815,UC-GF-044,可用性管理の標準テンプレートの整備,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3816,UC-GF-045,可用性管理の継続的改善,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3817,UC-GF-046,可用性管理の自動化/効率化,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3818,UC-GF-047,可用性管理の調査/分析,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3819,UC-GF-048,可用性管理の通知/コミュニケーション,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3820,UC-GF-049,可用性管理の運用手順の整備,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3821,UC-GF-050,可用性管理の関係者合意の形成,可用性管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3901,UC-GL-484,問題管理のSLA/目標管理,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3902,UC-GL-485,問題管理のエスカレーション/連携,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3903,UC-GL-486,問題管理のデータ品質の維持,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3904,UC-GL-487,問題管理のナレッジの更新,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3905,UC-GL-488,問題管理のレポート/振り返り,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3906,UC-GL-489,問題管理のレポートの標準化,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3907,UC-GL-490,問題管理の依存関係の整理,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3908,UC-GL-491,問題管理の分類/優先度付け,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3909,UC-GL-492,問題管理の受付/登録,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3910,UC-GL-493,問題管理の品質保証/監査,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3911,UC-GL-494,問題管理の実行/処理,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3912,UC-GL-495,問題管理の承認/レビュー,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3913,UC-GL-496,問題管理の改善施策の実施,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3914,UC-GL-497,問題管理の方針/標準定義,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3915,UC-GL-498,問題管理の標準テンプレートの整備,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3916,UC-GL-499,問題管理の継続的改善,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3917,UC-GL-500,問題管理の自動化/効率化,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3918,UC-GL-501,問題管理の調査/分析,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3919,UC-GL-502,問題管理の通知/コミュニケーション,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3920,UC-GL-503,問題管理の運用手順の整備,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-3921,UC-GL-504,問題管理の関係者合意の形成,問題管理,GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4101,UC-EXA-02,スケジュール実行,変更管理,Exastro ITA Web / Exastro ITA API,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4102,UC-GL-878,承認結果通知,変更管理,GitLab; n8n; Zulip; Exastro ITA API,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4201,UC-GL-438,スコープラベル,変更管理; プロジェクト管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4301,UC-N8N-04,スケジュール実行,変更管理; 測定および報告,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4401,UC-GF-052,容量・パフォーマンス管理のSLA/目標管理,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4402,UC-GF-053,容量・パフォーマンス管理のエスカレーション/連携,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4403,UC-GF-054,容量・パフォーマンス管理のデータ品質の維持,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4404,UC-GF-055,容量・パフォーマンス管理のナレッジの更新,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4405,UC-GF-056,容量・パフォーマンス管理のレポート/振り返り,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4406,UC-GF-057,容量・パフォーマンス管理のレポートの標準化,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4407,UC-GF-058,容量・パフォーマンス管理の依存関係の整理,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4408,UC-GF-059,容量・パフォーマンス管理の分類/優先度付け,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4409,UC-GF-060,容量・パフォーマンス管理の受付/登録,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4410,UC-GF-061,容量・パフォーマンス管理の品質保証/監査,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4411,UC-GF-062,容量・パフォーマンス管理の実行/処理,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4412,UC-GF-063,容量・パフォーマンス管理の承認/レビュー,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4413,UC-GF-064,容量・パフォーマンス管理の改善施策の実施,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4414,UC-GF-065,容量・パフォーマンス管理の方針/標準定義,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4415,UC-GF-066,容量・パフォーマンス管理の標準テンプレートの整備,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4416,UC-GF-067,容量・パフォーマンス管理の継続的改善,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4417,UC-GF-068,容量・パフォーマンス管理の自動化/効率化,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4418,UC-GF-069,容量・パフォーマンス管理の調査/分析,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4419,UC-GF-070,容量・パフォーマンス管理の通知/コミュニケーション,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4420,UC-GF-071,容量・パフォーマンス管理の運用手順の整備,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4421,UC-GF-072,容量・パフォーマンス管理の関係者合意の形成,容量・パフォーマンス管理,Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4501,UC-GL-197,機密チケット,情報セキュリティ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4502,UC-GL-147,レジストリ認証,情報セキュリティ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4503,UC-KC-33,管理権限分離,情報セキュリティ管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4504,UC-KC-01,トークン設計,情報セキュリティ管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4505,UC-KC-32,監査イベント,情報セキュリティ管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4506,UC-KC-30,権限継承,情報セキュリティ管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4507,UC-KC-04,外部IdP連携,情報セキュリティ管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4508,UC-KC-34,統合認証・SSO,情報セキュリティ管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4509,UC-KC-02,マルチテナント認証,情報セキュリティ管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4510,UC-KC-31,権限設計,情報セキュリティ管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4511,UC-KC-03,ユーザーフェデレーション,情報セキュリティ管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4512,UC-KC-05,多要素認証,情報セキュリティ管理,Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4513,UC-KC-06,情報セキュリティ管理のKPI/指標定義,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4514,UC-KC-07,情報セキュリティ管理のガバナンスと方針運用の整備,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4515,UC-KC-08,情報セキュリティ管理のステークホルダー/関係者調整,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4516,UC-KC-09,情報セキュリティ管理のツール/データ整備,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4517,UC-KC-10,情報セキュリティ管理のリスク/例外レビュー,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4518,UC-KC-11,情報セキュリティ管理のリスクと例外の管理,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4519,UC-KC-12,情報セキュリティ管理のレビュー/監査の実施,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4520,UC-KC-13,情報セキュリティ管理のロードマップ策定,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4521,UC-KC-14,情報セキュリティ管理の主要関係者の合意形成,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4522,UC-KC-15,情報セキュリティ管理の変更影響の分析,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4523,UC-KC-16,情報セキュリティ管理の定期レビュー/報告,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4524,UC-KC-17,情報セキュリティ管理の実行計画の策定,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4525,UC-KC-18,情報セキュリティ管理の役割/責任（RACI）定義,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4526,UC-KC-19,情報セキュリティ管理の意思決定基準の明文化,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4527,UC-KC-20,情報セキュリティ管理の成果物の記録/版管理,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4528,UC-KC-21,情報セキュリティ管理の指標の定義と可視化,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4529,UC-KC-22,情報セキュリティ管理の改善施策の優先順位付け,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4530,UC-KC-23,情報セキュリティ管理の教育/オンボーディング,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4531,UC-KC-24,情報セキュリティ管理の教育/展開/浸透,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4532,UC-KC-25,情報セキュリティ管理の方針/ポリシー策定,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4533,UC-KC-26,情報セキュリティ管理の標準/ガイドライン整備,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4534,UC-KC-27,情報セキュリティ管理の現状評価/ギャップ分析,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4535,UC-KC-28,情報セキュリティ管理の目標/ターゲット設定,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4536,UC-KC-29,情報セキュリティ管理の運用手順と標準の整備,情報セキュリティ管理,Keycloak; GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4537,UC-KC-37,権限変更監査通知,情報セキュリティ管理,Keycloak; n8n; GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4538,UC-N8N-03,資格情報管理,情報セキュリティ管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4539,UC-N8N-01,セキュア運用,情報セキュリティ管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4601,UC-GL-173,戦略管理のKPI/指標定義,戦略管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4602,UC-GL-174,戦略管理のガバナンスと方針運用の整備,戦略管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-4603,UC-GL-175,戦略管理のステークホルダー/関係者調整,戦略管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
